bookmarkId,sid,name,type,mcidName,mcid,sido,sigungu,address,memo,folders,folderCount,mismatch,isMatched,created,px,py
260145862,18723065,대우월드마크,place,일반,GENERAL,서울,용산구,서울 용산구 한강대로 211,,내 장소,1,AVAILABLE,True,2020-08-21,126.973093,37.5370975
259769679,35832216,보문파크뷰자이아파트,place,일반,GENERAL,서울,성북구,서울 성북구 보문사길 111,,내 장소,1,AVAILABLE,True,2020-08-20,127.0188098,37.5802161
255213477,36351814,가타쯔무리,place,음식점,DINING,서울,서대문구,서울 서대문구 명지대길 72,,내 장소,1,AVAILABLE,True,2020-08-09,126.9234861,37.5832536
251304793,1160820946,현대위버포레오피스텔(2020년10월예정),place,일반,GENERAL,서울,강남구,서울 강남구 삼성동,,내 장소,1,AVAILABLE,True,2020-07-31,127.0549816,37.5078761
248773205,18722151,용산CJ나인파크아파트,place,일반,GENERAL,서울,용산구,서울 용산구 백범로90다길 12,,내 장소,1,AVAILABLE,True,2020-07-25,126.9688071,37.5362875
248392036,20866626,용산ThePRIME,place,일반,GENERAL,서울,용산구,서울 용산구 원효로90길 11,,내 장소,1,AVAILABLE,True,2020-07-24,126.970115,37.540384
248391736,18718859,용산리첸시아아파트,place,일반,GENERAL,서울,용산구,서울 용산구 백범로 341,,내 장소,1,AVAILABLE,True,2020-07-24,126.9678941,37.5383556
248391530,18150240,용산아크로타워,place,일반,GENERAL,서울,용산구,서울 용산구 백범로90길 26,,내 장소,1,AVAILABLE,True,2020-07-24,126.968758,37.5366457
246795433,1249548771,오하이오,place,카페,CAFE,경기도,성남시,경기도 성남시 분당구 미금일로86번길 8 1층,,내 장소,1,AVAILABLE,True,2020-07-20,127.1104893,37.3467128
244623869,1553059011,스쿠퍼젤라또,place,카페,CAFE,서울,종로구,서울 종로구 자하문로7길 10,,내 장소,1,AVAILABLE,True,2020-07-14,126.9712341,37.5784034
242881369,18664406,경희궁의아침3단지,place,일반,GENERAL,서울,종로구,서울 종로구 사직로8길 34,,내 장소,1,AVAILABLE,True,2020-07-10,126.9718472,37.5738725
238766360,18825604,광진하우스토리,place,일반,GENERAL,서울,광진구,서울 광진구 구의강변로1길 44,,내 장소,1,AVAILABLE,True,2020-06-28,127.0898511,37.5301395
